REGION,OS,PROTOCOL,X_1,X_2,X_3,X_4,X_5,X_6,X_7,MALICIOUS_OFFENSE
Asia,Linux,HTTP,39,6,5,6,80,249,92,1
Africa,Linux,FTP,36,2,1,0,140,0,92,1
South America,Linux,HTTP,42,7,4,2,62,316,103,1
North America,Linux,HTTP,37,0,2,7,130,316,103,1
Asia,Linux,HTTP,49,6,2,7,62,249,72,1
Africa,Linux,HTTP,21,4,2,7,142,0,103,1
South America,Linux,HTTP,11,7,3,5,93,174,48,1
South America,Linux,HTTP,44,1,8,3,29,249,103,1
North America,Linux,HTTP,37,0,2,7,29,249,72,1
North America,Linux,HTTP,25,9,5,6,80,174,112,1
Asia,Linux,HTTP,39,6,6,4,119,174,103,1
South America,Linux,HTTP,44,1,7,1,87,249,34,1
Africa,Linux,HTTP,33,2,7,1,25,249,113,1
North America,Linux,HTTP,26,9,3,5,29,316,72,1
Asia,Linux,HTTP,4,6,1,0,29,174,111,1
North America,Linux,HTTP,50,0,5,6,62,316,72,1
North America,Linux,HTTP,24,0,8,3,29,249,98,1
South America,Linux,HTTP,19,1,7,1,29,174,103,1
South America,Linux,HTTP,9,7,5,6,107,303,72,1
Africa,Linux,HTTP,33,2,6,4,29,0,92,1
Asia,Linux,HTTP,4,6,1,0,62,249,24,1
South America,Linux,HTTP,38,10,8,3,29,249,112,1
Africa,Linux,HTTP,33,2,7,1,29,249,72,1
Asia,Linux,HTTP,5,3,3,5,80,0,72,1
Africa,Linux,HTTP,33,2,7,1,93,174,112,1
Asia,Linux,HTTP,4,6,1,0,80,174,2,1
North America,Linux,HTTP,16,0,7,1,29,316,72,1
South America,Mac,HTTP,22,7,9,8,29,174,112,1
North America,Linux,HTTP,26,9,5,6,29,249,103,1
Africa,Linux,FTP,36,2,1,0,103,249,92,1
Asia,Linux,HTTP,4,6,5,6,29,43,72,0
North America,Linux,HTTP,37,0,6,4,130,114,103,0
North America,Windows,HTTP,37,0,16,12,80,245,92,0
South America,Windows,FTP,8,7,15,10,142,200,103,0
South America,Mac,HTTP,19,1,14,14,133,128,18,0
North America,Linux,HTTP,26,9,3,5,14,43,72,0
Africa,Windows,HTTP,36,2,15,10,29,174,103,0
Africa,Windows,HTTP,36,2,15,10,29,174,92,0
Africa,Linux,HTTP,36,2,1,0,29,174,92,0
South America,Linux,HTTP,45,10,7,1,80,128,109,0
Asia,Linux,HTTP,3,3,6,4,93,179,109,0
Asia,Linux,HTTP,49,6,8,3,80,179,98,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
South America,Windows,HTTP,22,7,15,10,29,179,112,0
Africa,Linux,HTTP,6,4,5,6,62,132,103,0
North America,Linux,HTTP,37,0,9,8,107,71,12,0
Asia,Linux,HTTP,49,6,9,8,29,179,67,0
Asia,Mac,HTTP,4,6,9,8,62,263,112,0
Asia,Linux,HTTP,4,6,5,6,80,128,103,0
North America,Linux,HTTP,18,9,3,5,29,43,72,0
Africa,Linux,HTTP,36,2,1,0,130,174,103,0
North America,Linux,HTTP,16,0,4,2,29,43,72,0
Asia,Linux,HTTP,4,6,6,4,62,263,12,0
Africa,Linux,HTTP,21,4,6,4,65,82,103,0
Asia,Linux,HTTP,4,6,2,7,142,179,109,0
Asia,Windows,HTTP,49,6,15,10,29,71,12,0
Asia,Linux,HTTP,49,6,2,7,29,263,12,0
South America,Linux,HTTP,38,10,8,3,130,111,48,0
North America,Linux,HTTP,18,9,8,3,119,20,103,0
North America,Linux,HTTP,24,0,4,2,93,198,42,0
North America,Windows,HTTP,24,0,15,10,29,263,112,0
Africa,Linux,HTTP,36,2,1,0,29,174,103,0
Africa,Linux,HTTP,36,2,1,0,29,174,103,0
Africa,Linux,HTTP,36,2,1,0,29,174,92,0
Africa,Windows,HTTP,36,2,15,10,93,174,103,0
Africa,Linux,HTTP,23,4,7,1,29,263,98,0
North America,Linux,HTTP,37,0,3,5,29,43,72,0
North America,Linux,HTTP,18,9,7,1,80,71,103,0
Africa,Mac,SMTP,21,4,9,8,77,82,112,0
South America,Windows,HTTP,20,10,16,12,124,256,103,0
Africa,Linux,FTP,36,2,1,0,93,174,92,0
Africa,Linux,HTTP,21,4,7,1,29,179,103,0
South America,Mac,HTTP,22,7,9,8,29,192,112,0
South America,Linux,HTTP,38,10,7,1,142,319,98,0
Africa,Mac,HTTP,36,2,9,8,29,174,92,0
North America,Linux,HTTP,26,9,3,5,62,179,103,0
North America,Linux,HTTP,16,0,7,1,29,179,103,0
Africa,Linux,HTTP,41,4,6,4,29,111,103,0
Asia,Linux,FTP,4,6,5,6,53,111,18,0
North America,Linux,HTTP,37,0,2,7,142,222,98,0
North America,Linux,HTTP,24,0,8,3,130,73,24,0
North America,Linux,HTTP,26,9,3,5,29,263,92,0
Africa,Linux,HTTP,40,2,6,4,142,21,103,0
South America,Linux,FTP,45,10,6,4,29,179,72,0
North America,Linux,HTTP,26,9,3,5,142,21,27,0
South America,Linux,HTTP,44,1,2,7,142,73,113,0
South America,Windows,FTP,42,7,15,10,51,263,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Asia,Linux,HTTP,4,6,4,2,62,263,72,0
Africa,Linux,HTTP,6,4,4,2,29,179,42,0
Africa,Linux,HTTP,6,4,4,2,62,39,98,0
Africa,Linux,HTTP,6,4,4,2,142,179,112,0
Asia,Linux,HTTP,49,6,6,4,87,179,103,0
South America,Linux,HTTP,47,7,7,1,130,303,113,0
Africa,Windows,HTTP,36,2,15,10,62,174,103,0
South America,Windows,HTTP,27,1,12,16,142,150,103,0
Africa,Linux,HTTP,36,2,1,0,62,174,103,0
Asia,Linux,HTTP,4,6,1,0,107,68,103,0
North America,Windows,HTTP,26,9,12,16,62,174,103,0
Asia,Linux,HTTP,4,6,3,5,107,263,84,0
South America,Windows,FTP,19,1,16,12,62,274,54,0
North America,Linux,HTTP,24,0,7,1,29,73,72,0
Asia,Windows,HTTP,5,3,16,12,93,174,111,0
Asia,Linux,HTTP,4,6,3,5,29,182,98,0
Asia,Linux,HTTP,4,6,2,7,62,263,72,0
Asia,Linux,HTTP,4,6,1,0,80,21,103,0
North America,Windows,HTTP,14,9,12,16,29,111,103,0
Asia,Linux,HTTP,4,6,6,4,29,306,72,0
Asia,Linux,HTTP,4,6,6,4,93,179,103,0
North America,Linux,HTTP,37,0,2,7,29,179,76,0
Asia,Linux,HTTP,49,6,7,1,124,128,18,0
Asia,Linux,HTTP,4,6,1,0,62,21,88,0
Asia,Linux,HTTP,4,6,2,7,29,263,48,0
Africa,Linux,HTTP,21,4,2,7,142,200,92,0
Asia,Linux,HTTP,4,6,6,4,130,179,103,0
Africa,Linux,HTTP,21,4,5,6,30,205,32,0
Asia,Linux,HTTP,4,6,7,1,14,67,54,0
North America,Linux,HTTP,24,0,5,6,25,204,103,0
North America,Linux,HTTP,26,9,3,5,62,21,44,0
Africa,Linux,HTTP,21,4,6,4,142,174,98,0
North America,Linux,HTTP,37,0,3,5,62,128,103,0
Asia,Linux,HTTP,4,6,3,5,142,71,24,0
North America,Windows,HTTP,26,9,15,10,29,179,103,0
Asia,Linux,HTTP,3,3,1,0,29,179,103,0
Asia,Linux,HTTP,4,6,7,1,53,111,112,0
Asia,Linux,HTTP,4,6,4,2,29,263,72,0
Africa,Linux,HTTP,21,4,5,6,29,179,103,0
Asia,Windows,HTTP,49,6,15,10,29,268,72,0
Africa,Linux,HTTP,40,2,7,1,29,179,92,0
Africa,Mac,HTTP,6,4,9,8,29,179,110,0
Asia,Mac,FTP,4,6,9,8,29,43,72,0
Africa,Linux,HTTP,6,4,8,3,93,179,103,0
North America,Linux,HTTP,24,0,5,6,142,306,72,0
South America,Linux,HTTP,42,7,7,1,142,71,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
Africa,Linux,FTP,40,2,3,5,142,306,72,0
South America,Linux,HTTP,44,1,9,8,103,205,103,0
North America,Linux,HTTP,24,0,8,3,29,43,97,0
Asia,Linux,FTP,49,6,2,7,140,263,72,0
Asia,Linux,HTTP,35,3,1,0,29,179,72,0
Asia,Linux,HTTP,4,6,6,4,107,200,72,0
Asia,Linux,HTTP,49,6,6,4,80,179,72,0
North America,Linux,HTTP,25,9,6,4,100,179,103,0
Africa,Linux,HTTP,21,4,5,6,103,200,103,0
Asia,Windows,HTTP,4,6,15,10,80,67,72,0
South America,Linux,HTTP,51,7,7,1,142,120,103,0
South America,Windows,HTTP,45,10,15,10,29,179,98,0
North America,Linux,HTTP,37,0,7,1,29,179,12,0
Africa,Linux,HTTP,6,4,4,2,142,263,112,0
North America,Linux,HTTP,24,0,8,3,29,179,24,0
South America,Linux,HTTP,47,7,8,3,29,200,60,0
Africa,Linux,HTTP,36,2,1,0,0,174,92,0
Africa,Linux,HTTP,36,2,1,0,62,174,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
Asia,Linux,HTTP,49,6,2,7,142,179,113,0
Africa,Linux,HTTP,40,2,7,1,29,263,103,0
Asia,Windows,HTTP,46,3,16,12,107,264,59,0
North America,Linux,HTTP,16,0,5,6,29,179,103,0
South America,Windows,HTTP,22,7,15,10,93,174,112,0
North America,Linux,HTTP,24,0,7,1,80,179,103,0
Asia,Linux,HTTP,5,3,6,4,62,21,103,0
North America,Linux,HTTP,18,9,8,3,138,128,18,0
Africa,Linux,HTTP,36,2,1,0,130,174,103,0
North America,Linux,HTTP,37,0,3,5,29,263,113,0
Africa,Linux,HTTP,36,2,4,2,62,303,92,0
Africa,Linux,HTTP,21,4,7,1,142,174,92,0
Africa,Linux,HTTP,36,2,1,0,29,290,92,0
North America,Linux,FTP,18,9,5,6,80,200,103,0
Africa,Linux,HTTP,21,4,7,1,29,174,54,0
Asia,Windows,HTTP,35,3,13,18,142,174,59,0
South America,Windows,HTTP,45,10,15,10,130,182,103,0
Asia,Linux,SMTP,4,6,6,4,80,67,24,0
South America,Windows,HTTP,44,1,12,16,77,174,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
North America,Linux,HTTP,26,9,3,5,29,179,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Asia,Linux,HTTP,35,3,2,7,29,200,103,0
Asia,Linux,HTTP,5,3,3,5,29,174,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
North America,Linux,HTTP,24,0,4,2,130,21,103,0
Asia,Linux,HTTP,4,6,3,5,142,306,54,0
North America,Linux,HTTP,24,0,4,2,142,84,103,0
Africa,Linux,HTTP,36,2,1,0,93,290,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
South America,Windows,HTTP,2,10,16,12,142,159,67,0
Asia,Linux,HTTP,4,6,5,6,119,263,112,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Asia,Linux,HTTP,3,3,4,2,62,71,34,0
South America,Linux,HTTP,27,1,6,4,130,135,103,0
South America,Windows,HTTP,47,7,16,12,93,174,98,0
Asia,Linux,HTTP,15,3,6,4,130,306,72,0
Asia,Linux,HTTP,4,6,2,7,62,263,103,0
Asia,Windows,HTTP,4,6,15,10,62,263,103,0
North America,Linux,HTTP,37,0,3,5,29,179,24,0
South America,Linux,HTTP,38,10,8,3,87,43,34,0
South America,Linux,HTTP,22,7,6,4,142,21,72,0
Africa,Linux,HTTP,21,4,7,1,62,200,98,0
Africa,Linux,HTTP,6,4,6,4,93,179,112,0
South America,Linux,HTTP,8,7,8,3,80,32,98,0
Asia,Linux,HTTP,4,6,2,7,87,200,72,0
Asia,Linux,HTTP,49,6,4,2,29,179,103,0
Africa,Windows,HTTP,36,2,15,10,53,174,92,0
South America,Mac,HTTP,8,7,18,13,142,21,24,0
Asia,Linux,HTTP,4,6,1,0,80,67,72,0
South America,Linux,HTTP,45,10,6,4,53,174,18,0
Africa,Linux,HTTP,6,4,5,6,29,174,59,0
South America,Linux,HTTP,30,7,4,2,62,67,72,0
South America,Windows,HTTP,20,10,16,12,53,111,103,0
Asia,Linux,HTTP,49,6,7,1,29,21,103,0
North America,Linux,HTTP,24,0,8,3,142,174,92,0
North America,Linux,HTTP,16,0,4,2,142,67,72,0
Asia,Linux,HTTP,4,6,1,0,62,200,98,0
Africa,Windows,HTTP,36,2,15,10,93,290,103,0
Africa,Linux,HTTP,36,2,1,0,93,303,92,0
Africa,Linux,HTTP,21,4,2,7,80,179,92,0
Asia,Linux,HTTP,4,6,2,7,62,179,72,0
South America,Linux,HTTP,44,1,2,7,14,200,98,0
South America,Linux,HTTP,44,1,9,8,115,98,103,0
South America,Windows,HTTP,45,10,16,12,80,111,103,0
Asia,Linux,HTTP,4,6,4,2,29,43,98,0
North America,Windows,HTTP,18,9,17,11,29,21,72,0
South America,Linux,HTTP,19,1,6,4,43,128,103,0
South America,Linux,HTTP,30,7,8,3,62,128,109,0
Asia,Linux,HTTP,49,6,2,7,14,192,103,0
North America,Linux,HTTP,17,0,7,1,142,179,103,0
South America,Linux,HTTP,47,7,4,2,29,174,72,0
Africa,Linux,HTTP,36,2,5,6,133,174,103,0
South America,Linux,HTTP,19,1,9,8,16,263,74,0
Asia,Linux,HTTP,52,3,6,4,29,263,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Africa,Linux,HTTP,6,4,4,2,87,179,18,0
North America,Linux,HTTP,18,9,3,5,29,174,103,0
South America,Linux,HTTP,45,10,2,7,6,179,103,0
Africa,Linux,HTTP,21,4,6,4,62,43,72,0
Asia,Linux,HTTP,46,3,6,4,80,98,103,0
Asia,Linux,HTTP,49,6,2,7,107,263,72,0
South America,Linux,HTTP,47,7,4,2,62,98,72,0
North America,Linux,HTTP,37,0,3,5,142,43,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
South America,Windows,HTTP,30,7,11,17,80,43,34,0
North America,Linux,HTTP,26,9,4,2,62,263,10,0
North America,Linux,HTTP,37,0,6,4,107,229,112,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
Asia,Linux,HTTP,4,6,4,2,107,184,109,0
Asia,Linux,HTTP,49,6,7,1,62,263,103,0
Asia,Linux,HTTP,4,6,3,5,29,43,72,0
Asia,Linux,HTTP,35,3,3,5,29,174,103,0
Asia,Linux,HTTP,49,6,6,4,62,179,112,0
Asia,Linux,HTTP,3,3,1,0,29,43,103,0
Africa,Linux,HTTP,21,4,7,1,93,174,59,0
North America,Linux,HTTP,18,9,7,1,142,132,103,0
Asia,Linux,HTTP,4,6,2,7,142,43,103,0
North America,Linux,HTTP,37,0,6,4,29,179,72,0
North America,Linux,HTTP,16,0,6,4,29,263,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
Africa,Mac,HTTP,36,2,18,13,93,174,103,0
Africa,Linux,HTTP,21,4,8,3,93,174,24,0
South America,Linux,HTTP,11,7,2,7,107,174,24,0
Asia,Linux,HTTP,49,6,8,3,119,179,98,0
North America,Linux,HTTP,16,0,8,3,29,111,103,0
Asia,Windows,HTTP,46,3,15,10,29,263,103,0
Asia,Linux,HTTP,49,6,5,6,133,128,18,0
Asia,Linux,SSH,46,3,8,3,142,200,72,0
Africa,Linux,HTTP,6,4,5,6,29,179,103,0
Africa,Linux,HTTP,36,2,1,0,62,174,92,0
Africa,Linux,HTTP,36,2,1,0,93,174,18,0
South America,Linux,HTTP,30,7,5,6,29,179,18,0
Africa,Linux,HTTP,36,2,1,0,29,174,92,0
South America,Linux,HTTP,45,10,1,0,29,128,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
South America,Linux,FTP,30,7,2,7,62,71,103,0
South America,Linux,HTTP,47,7,5,6,142,174,31,0
Africa,Linux,HTTP,36,2,1,0,130,174,92,0
Asia,Linux,HTTP,15,3,8,3,86,263,112,0
Africa,Linux,HTTP,36,2,1,0,130,174,103,0
Asia,Linux,HTTP,4,6,5,6,80,263,12,0
Africa,Linux,HTTP,36,2,4,2,142,127,92,0
South America,Windows,HTTP,47,7,17,11,29,174,72,0
North America,Linux,HTTP,16,0,5,6,62,43,72,0
Africa,Linux,HTTP,40,2,1,0,142,71,72,0
Africa,Windows,HTTP,36,2,15,10,53,174,92,0
North America,Linux,HTTP,26,9,3,5,142,58,98,0
South America,Windows,HTTP,47,7,15,10,29,174,103,0
Asia,Linux,HTTP,3,3,2,7,93,179,92,0
Asia,Windows,HTTP,49,6,15,10,130,260,113,0
North America,Linux,FTP,24,0,8,3,29,263,12,0
South America,Linux,HTTP,8,7,5,6,53,192,18,0
Africa,Linux,HTTP,6,4,5,6,29,179,109,0
Asia,Linux,FTP,39,6,8,3,142,268,103,0
North America,Linux,HTTP,37,0,3,5,142,179,103,0
Asia,Linux,HTTP,4,6,2,7,29,179,72,0
Asia,Linux,HTTP,35,3,1,0,103,71,24,0
South America,Linux,HTTP,45,10,1,0,29,192,72,0
Asia,Linux,HTTP,49,6,4,2,29,179,109,0
South America,Linux,HTTP,42,7,6,4,29,179,72,0
South America,Linux,HTTP,42,7,6,4,29,179,103,0
South America,Linux,HTTP,47,7,4,2,142,179,72,0
South America,Linux,HTTP,45,10,2,7,107,128,103,0
Asia,Linux,HTTP,3,3,4,2,142,179,72,0
South America,Linux,HTTP,45,10,3,5,29,179,34,0
South America,Linux,HTTP,47,7,3,5,142,205,98,0
Africa,Windows,HTTP,36,2,16,12,80,200,92,0
North America,Windows,HTTP,24,0,15,10,80,158,103,0
Africa,Linux,HTTP,36,2,1,0,29,174,103,0
Africa,Linux,HTTP,6,4,7,1,29,179,18,0
North America,Windows,HTTP,14,9,13,18,115,106,103,0
Africa,Linux,HTTP,40,2,3,5,29,263,72,0
Asia,Linux,HTTP,49,6,4,2,14,128,103,0
Africa,Linux,HTTP,36,2,1,0,29,174,92,0
Africa,Linux,HTTP,21,4,5,6,29,179,72,0
Africa,Linux,HTTP,40,2,5,6,14,263,112,0
North America,Linux,HTTP,25,9,6,4,80,11,103,0
Africa,Linux,HTTP,6,4,6,4,93,192,113,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
North America,Linux,HTTP,24,0,5,6,93,179,103,0
South America,Linux,HTTP,19,1,8,3,29,128,92,0
Asia,Windows,HTTP,4,6,15,10,14,53,87,0
North America,Linux,FTP,14,9,6,4,29,71,77,0
South America,Mac,HTTP,44,1,18,13,142,164,72,0
North America,Linux,HTTP,37,0,2,7,29,179,103,0
Asia,Linux,HTTP,4,6,6,4,29,43,72,0
Africa,Linux,HTTP,6,4,6,4,130,179,95,0
North America,Linux,HTTP,14,9,5,6,29,174,103,0
Asia,Linux,HTTP,4,6,4,2,29,21,103,0
Africa,Linux,HTTP,6,4,6,4,29,21,109,0
Asia,Linux,HTTP,3,3,7,1,62,179,24,0
North America,Linux,HTTP,24,0,5,6,29,268,12,0
Africa,Linux,HTTP,23,4,9,8,70,306,92,0
South America,Linux,HTTP,30,7,8,3,107,200,98,0
North America,Windows,HTTP,24,0,15,10,29,263,103,0
Africa,Linux,HTTP,21,4,2,7,80,179,103,0
North America,Linux,HTTP,24,0,7,1,62,11,103,0
Africa,Linux,HTTP,21,4,6,4,29,71,98,0
Asia,Linux,HTTP,28,3,5,6,62,200,98,0
South America,Windows,HTTP,47,7,15,10,87,179,18,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
Asia,Linux,HTTP,49,6,6,4,16,82,77,0
South America,Linux,HTTP,47,7,4,2,130,200,72,0
South America,Linux,HTTP,47,7,6,4,29,174,116,0
Africa,Linux,FTP,36,2,5,6,80,174,103,0
Africa,Linux,HTTP,36,2,1,0,130,174,92,0
Africa,Mac,HTTP,21,4,9,8,142,97,59,0
Africa,Linux,HTTP,6,4,5,6,130,179,34,0
South America,Mac,HTTP,47,7,9,8,138,98,110,0
Africa,Linux,HTTP,41,4,4,2,130,174,18,0
Africa,Linux,HTTP,21,4,2,7,103,263,12,0
Asia,Linux,HTTP,4,6,1,0,107,71,72,0
South America,Windows,HTTP,51,7,11,17,29,200,67,0
Africa,Linux,HTTP,32,4,7,1,62,11,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
Africa,Linux,HTTP,21,4,2,7,29,263,72,0
Asia,Linux,HTTP,4,6,6,4,80,263,116,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
Africa,Linux,HTTP,36,2,1,0,62,174,103,0
South America,Windows,HTTP,47,7,12,16,142,82,103,0
Africa,Linux,HTTP,21,4,5,6,130,174,98,0
Africa,Linux,HTTP,40,2,7,1,14,263,103,0
South America,Linux,HTTP,38,10,3,5,29,21,98,0
North America,Linux,HTTP,37,0,7,1,6,179,103,0
North America,Linux,HTTP,16,0,5,6,136,60,103,0
Africa,Linux,HTTP,40,2,3,5,29,43,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
North America,Linux,HTTP,26,9,6,4,62,158,103,0
Africa,Linux,HTTP,36,2,6,4,130,174,103,0
Asia,Linux,HTTP,49,6,5,6,29,200,98,0
Asia,Linux,HTTP,4,6,4,2,130,145,103,0
Africa,Linux,HTTP,36,2,1,0,29,174,92,0
Asia,Windows,HTTP,4,6,15,10,29,145,103,0
North America,Windows,HTTP,18,9,13,18,142,174,72,0
Africa,Linux,HTTP,6,4,6,4,53,128,18,0
Africa,Windows,HTTP,36,2,15,10,14,174,92,0
North America,Linux,HTTP,37,0,2,7,142,179,103,0
South America,Linux,HTTP,19,1,7,1,29,174,103,0
Asia,Linux,HTTP,4,6,1,0,62,71,103,0
North America,Linux,HTTP,50,0,6,4,53,205,92,0
North America,Linux,HTTP,18,9,6,4,93,206,102,0
Africa,Windows,HTTP,36,2,15,10,93,174,92,0
Asia,Linux,HTTP,49,6,7,1,107,128,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
Africa,Mac,HTTP,6,4,9,8,29,200,98,0
Asia,Linux,HTTP,49,6,2,7,93,179,103,0
South America,Linux,HTTP,45,10,7,1,29,263,112,0
Asia,Windows,HTTP,49,6,15,10,14,179,103,0
South America,Windows,HTTP,47,7,15,10,29,179,103,0
South America,Windows,HTTP,30,7,11,17,86,179,103,0
Asia,Linux,HTTP,4,6,6,4,14,179,103,0
North America,Linux,HTTP,24,0,5,6,130,263,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Asia,Linux,HTTP,4,6,2,7,62,261,72,0
Asia,Linux,HTTP,5,3,8,3,29,179,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Africa,Linux,HTTP,36,2,1,0,133,174,18,0
South America,Windows,HTTP,30,7,11,17,29,179,103,0
North America,Windows,HTTP,37,0,11,17,119,223,103,0
Asia,Linux,FTP,4,6,2,7,30,43,72,0
Asia,Linux,HTTP,4,6,2,7,142,306,72,0
South America,Windows,HTTP,19,1,12,16,62,200,103,0
North America,Linux,HTTP,16,0,4,2,29,43,72,0
Africa,Linux,HTTP,40,2,6,4,29,179,103,0
South America,Windows,HTTP,47,7,12,16,138,79,10,0
South America,Windows,HTTP,47,7,15,10,142,174,24,0
Asia,Linux,HTTP,39,6,5,6,80,98,72,0
North America,Linux,HTTP,50,0,4,2,142,21,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Asia,Windows,HTTP,3,3,16,12,130,175,24,0
South America,Linux,HTTP,47,7,3,5,29,268,77,0
South America,Linux,HTTP,38,10,5,6,130,200,72,0
Africa,Linux,HTTP,6,4,6,4,93,179,72,0
Asia,Windows,HTTP,49,6,15,10,93,179,103,0
Africa,Linux,HTTP,40,2,3,5,142,71,72,0
Asia,Linux,HTTP,39,6,4,2,109,200,72,0
North America,Linux,HTTP,37,0,2,7,142,179,103,0
Africa,Windows,HTTP,36,2,15,10,29,174,92,0
North America,Linux,HTTP,18,9,6,4,24,82,84,0
North America,Mac,HTTP,14,9,9,8,62,179,112,0
Asia,Linux,HTTP,4,6,5,6,130,179,103,0
Asia,Linux,HTTP,49,6,2,7,62,179,92,0
Africa,Linux,HTTP,21,4,5,6,57,43,103,0
Africa,Windows,HTTP,36,2,15,10,93,174,103,0
North America,Linux,HTTP,16,0,5,6,93,179,103,0
Africa,Linux,HTTP,21,4,2,7,103,260,92,0
Africa,Mac,HTTP,40,2,16,12,29,128,92,0
Africa,Linux,HTTP,6,4,4,2,130,43,112,0
North America,Linux,HTTP,37,0,3,5,29,179,18,0
Asia,Linux,HTTP,4,6,2,7,62,50,54,0
South America,Linux,HTTP,38,10,5,6,29,33,103,0
North America,Linux,HTTP,25,9,8,3,80,21,103,0
Asia,Linux,HTTP,4,6,2,7,62,67,12,0
Asia,Linux,HTTP,4,6,5,6,130,111,34,0
Asia,Linux,HTTP,4,6,2,7,133,174,24,0
Asia,Linux,HTTP,4,6,1,0,62,67,103,0
Africa,Linux,HTTP,36,2,1,0,62,174,103,0
Africa,Linux,HTTP,36,2,1,0,29,174,92,0
Asia,Linux,HTTP,4,6,4,2,29,179,103,0
South America,Linux,HTTP,30,7,6,4,142,67,72,0
South America,Windows,HTTP,47,7,15,10,142,207,103,0
South America,Linux,FTP,38,10,5,6,51,71,34,0
Asia,Linux,HTTP,4,6,6,4,80,263,113,0
Africa,Windows,HTTP,36,2,15,10,53,290,103,0
Africa,Linux,HTTP,36,2,6,4,29,174,103,0
Asia,Windows,HTTP,5,3,16,12,29,179,103,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Asia,Windows,HTTP,4,6,11,17,29,43,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
North America,Linux,HTTP,16,0,4,2,62,263,12,0
South America,Linux,FTP,2,10,8,3,80,21,103,0
Africa,Linux,HTTP,40,2,3,5,142,200,72,0
Asia,Windows,HTTP,5,3,16,12,29,263,87,0
Asia,Linux,HTTP,4,6,1,0,80,263,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
North America,Mac,HTTP,37,0,9,8,87,179,112,0
Africa,Linux,HTTP,36,2,9,8,133,303,92,0
South America,Windows,HTTP,38,10,12,16,29,58,72,0
South America,Linux,HTTP,45,10,5,6,29,21,72,0
Asia,Linux,HTTP,3,3,1,0,80,43,72,0
Africa,Linux,HTTP,36,2,1,0,93,174,103,0
Asia,Linux,HTTP,4,6,6,4,29,16,103,0
North America,Linux,HTTP,37,0,3,5,29,179,103,0
Asia,Linux,HTTP,5,3,2,7,29,73,98,0
Asia,Linux,HTTP,4,6,1,0,29,111,103,0
South America,Linux,HTTP,30,7,7,1,29,179,103,0
South America,Linux,HTTP,47,7,3,5,29,205,98,0
Africa,Linux,HTTP,23,4,7,1,29,263,72,0
Asia,Linux,HTTP,49,6,6,4,29,320,103,0
Asia,Windows,HTTP,4,6,15,10,142,263,72,0
Asia,Linux,HTTP,46,3,4,2,130,82,109,0
Africa,Linux,HTTP,36,2,1,0,93,174,92,0
Africa,Windows,HTTP,36,2,15,10,93,174,92,0
Africa,Linux,HTTP,40,2,3,5,142,263,72,0
North America,Linux,HTTP,24,0,5,6,29,179,103,0
South America,Linux,HTTP,30,7,8,3,142,71,72,0
South America,Windows,HTTP,47,7,16,12,29,111,103,0
Africa,Linux,HTTP,36,2,1,0,29,174,103,0
Africa,Linux,HTTP,6,4,5,6,142,263,92,0
Africa,Linux,HTTP,6,4,4,2,29,179,103,0
South America,Linux,HTTP,45,10,6,4,29,179,103,0
North America,Linux,HTTP,25,9,3,5,142,306,72,0
Asia,Linux,HTTP,4,6,2,7,62,263,72,0
Africa,Linux,HTTP,6,4,5,6,29,179,72,0
South America,Linux,HTTP,44,1,2,7,80,21,98,0
Asia,Linux,HTTP,4,6,6,4,119,132,112,0
North America,Windows,HTTP,37,0,17,11,80,179,103,0
South America,Linux,HTTP,30,7,4,2,29,145,103,0
Asia,Linux,HTTP,49,6,2,7,62,179,103,0
Africa,Windows,HTTP,36,2,15,10,93,174,103,0
Asia,Linux,HTTP,4,6,1,0,29,67,112,0
Asia,Linux,HTTP,4,6,5,6,62,263,112,0
